KEY;TYPE;REF;GEOTYPE;VARIANTS;FILES
Gomes S.J.;persName;;;Gomes;
Gomes, Antonius;persName;;;Antonium Gomes|Antonius Gomes;
Gomezius, Iohannes S.J.;persName;;;Joannes Gomezius;
Gomezius, Petrus;persName;http://www.viaf.org/86578122;;Petrus Gomezius;
Gomesius, Philippus S.J.;persName;;;Phelipus Gomezius;
Gonçalus Cochinum;persName;;;Gonçalus Cochinum;
Gonçalves de Câmara, Ludovicus S.J.;persName;;;Gonçalves de Câmara|Ludovicus Gonçalves de Câmara|Ludovico Gonçalves de Câmara;
Gonçalves, Melchior S.J.;persName;;;Melchiorem Gonsalvum;
Gonçálves, Sebastianus S.J.;persName;;;Sebastianus Gonçálvez|Sebastianus Gonçálve;
Gondisalus Rebello S.J.;persName;;;Gondisalus Rebello;
Gondisalvus Transtorna O.F.M.;persName;;;Gonsalvo Transtorna|Gondisalvus Transtorna O.F.M.;
González, Alfonsus S.J.;persName;;;Alfonsus González|Alfonssus González;
Goveanus Antonius  ;persName;http://www.viaf.org/54576295;;Antonius Govea;
Gregorius de Magalhaens S.J.;persName;;;Gregorius de Magalhaens|Gregorius de Magalhaens;
Gregorius Fluvius Fulvius S.J.;persName;;;Gregorius Fluvius Fulvius|Gregorius Fluvius [Fulvius];
Gregorius XIII;persName;;;Gregorii XIII|Gregorium Decimum Tertium;
Gregorius XIV;persName;;;Gregorius Quartus Decimus|Gregorius Quartus Decimus;
Guanguano;persName;;;Guanguano|Guanguano;
Guansum Chiao;persName;;;Guansum Chiao|Guansum Chiao;
Guantuchianus;persName;;;Guantuchianus|Guantuchianus;
Guglielmus de Mutina;persName;;;Guglielmus de Mutina;
Guicus;persName;;;Guicus|Guicus;
Guignes, Christianus Ludovicus Iosephus de  ;persName;;;Guignes;
Guillelmus de Rubruc O.F.M.;persName;https://viaf.org/56621539;;Guillelmus de Rubruc;
Henríquez, Emmanuel S.J.;persName;;;Emmanuel Henrríquez;
Huanganus;persName;;;Huanganus|Huanganus|Huangani|Huangani|Huanganum|Huanganum|Huanganum;
Hyde, Thomas;persName;http://www.viaf.org/37848733;;Hyde;
Ibañez, Bonaventura, O.F.M. ;persName;;;Bonaventura Ibañez|Fr. Bonaventura Ybañes|Bonaventuram Ibañez|Bonaventura Ybañes;
Ignatius;persName;;;Ignatii|Ignatii|[Ignatius];
Innocentius XI;persName;http://www.viaf.org/305517661;;Innocentius XI|Innocentio Papa XI;
Intorcetta, Prosperus;persName;http://www.viaf.org/45107415;;Prospero Intorcetta|Prosperus Intorcetta|Intorcetta;
Iohannes Maracium S.J.;persName;;;Joannem Maracium;
Iohannes;persName;;;Iohannes|Iohannes;
Iohannes Andreas Lobelli S.J.;persName;;;Joannes Andreas Lobelli|Joannes Andreas Lubelli;
Iohannes Bernardus;persName;;;Joannes Bernardus|Joannes	Bernardus;
Iohannes Cabral S.J.;persName;;;Joanne Cabral|Joanne Cabral|Jo. Cabrai|Joannes Cabral|Joannes Cabral;
Iohannes Cardosus S.J.;persName;;;Joannes Cardosus;
Iohannes de las Llagas;persName;;;Ioanne de las Llagas;
Iohannes de Milán S.J.;persName;;;Joannes de Milán;
Iohannes III rex Poloniae;persName;;;Rege Joanne III;
Iohannes Maria Leria S.J.;persName;;;Joannes Maria Leria|Joannes Maria Leria;
Iohannes Nicolaus S.J.;persName;;;Joannes Nicolaus;
Iohannes Rodericus;persName;;;Joannes Rodericus;
Iohannes Rodericus Giram S.J.;persName;;;Joannes Rodericus Giram|Joannes Rodericus [Giram];
Iohannes Rodericus Tçuzu S.J.;persName;;;Joannes Rodericus Tçuzu|Joannes Rodericus [Tçuzu]|Joannes Rodericus[Tçuzu];
Iohannes de Bera;persName;;;Iohannes de Bera;
Iohannes de Grimaldi O.F.M.;persName;;;Iohannes de Grimaldi O.F.M.|Iohannes Grimaldi;
Iohannes de Marignollis O.F.M.;persName;http://viaf.org/viaf/90635332;;Iohannes de Marignollis|Iohannes [de Marignolli];
Iohannes de Montecorvino O.F.M.;persName;http://viaf.org/viaf/59876078;;Iohannes de Monte Corvino|Iohannes de Montecorvino|Montecorvino;
Iohannes de Plano Carpini O.F.M.;persName;https://viaf.org/viaf/239502727;;Iohannes de Ordine Minorum fratrum, dictus de Plano Carpini|Iohannes de Plano Carpini|de Plano Carpini;
Iosephus;persName;;;Ioseph;
Iosephus Corina S.J.;persName;;;Joseph Corina|Joseph Corina;
Iosephus de Casanova;persName;;;Ioseph de Casanova|Iosephus de Casanova;
Iosephus Fornaletus S.J.;persName;;;Josephus Fornaletus;
Jacobus de Navaes S.J.;persName;;;Jacobus de Navais|Jacobus de Navaes;
Julius Piannus S.J.;persName;;;Julius Piannus;
Kambaku-dono [Toyotomi Hideyoshi];persName;;;Quambacundono|Kambaku-dono|Toyotomi Hideyoshi|Quambacundonus;
Kircherius, Athanasius;persName;;;Kircherius;
Lambertus de la Motte, Petrus;persName;http://www.viaf.org/2418157643277538590008;;Petrus Lambertus|Lambertus de la Motte, Petrus;
Lambertus, Petrus ;persName;;;Petrum Lambertus;
Lancillottus, Nicolaus S.J.;persName;;;Nicolaus Lancilotus|Lancillottus|Nicolao Lancilotto;
Laurentius de Alexandria vel de Ancona O.F.M.;persName;;;Laurentius de Alexandria;
Laurentius S.J.;persName;;;Fr. Laurentius|fr. Laurentius;
Le Blanc, Philibertus M.E.;persName;;;Philibertus le Blanc|Philiberto Le Blanc|Philibertus Le Blanc;
Licianus;persName;;;Licianus;
Linus S.J.;persName;;;Fr. Linus;
Longobardus, Nicolaus;persName;http://www.viaf.org/76459377;;Nicolaus Longobardus;
López de Castello Branco, Balthazar S..J;persName;;;Balthazar López de Castello Branco;
López, Antonius S.J.;persName;;;Antonius López;
Lopez, Gregorio;persName;;;Gregorio Lopez|Gregorio Lopez;
Lucas Estevan O.F.M.;persName;;;Lucam Esteve|Lucas Estevan|Luca Estevan|Luca Estevan;
Ludovicus de Abreu S.J.;persName;;;Ludovicus d’Abreu;
Ludovicus S.J.;persName;;;Fr. Ludovicus;
Maffeus, Iohannes Petrus ;persName;http://www.viaf.org/95224833;;Iohannes Maffeus|Joannes Maffeus|Iohannes Petrus Maffeus;
Magnus Kaam;persName;https://viaf.org/50027343;;Magnus Kaam|magni Chanis|Imperatore Chaam|dominus Chaam|domini Chanis|Imperator Chaam|magnus Cham|Dominus Chaam|Magnus Chanus|magni Canis|Chaam|Chanem de Cathay|Cothay Canis;
Mahometus;persName;https://viaf.org/97245226;;Machometi|Mahometus;
Maigrot, Carolus;persName;;;Carolum Maigrot|Carolum Maigrot;
Maiorica, Hieronymus S.J.;persName;http://www.viaf.org/42085352;;Hieronymus Maiorica|Hieronymus Maiorica|Majorica, Hieronimus S.J.|Hieronymus Mayorica|Hieronymus Mayorica|HYERONIMO MAYORICA;
Marcus Ferrara S.J.;persName;;;Marcus Ferrara;
Marín, Damianus S.J.;persName;;;Damianus Marín;
Marinus S.J.;persName;;;Fr. Marinus;
Martini, Martinus;persName;http://www.viaf.org/12554068;;Martinus Martino|Martini Martino|Martinus Martini|Martinus Martinius;
Martinus de Loyola;persName;http://www.viaf.org/215405431;;Martinus de Loyola;
Martinus Moan S.J.;persName;;;Martinus Moan|Martinus Moan;
Matthaeus Riccius ;persName;http://www.viaf.org/69722279;;Mattheaeus Riccius|Matthaeo Riccio|Matthaeus Ricci|Matthaeus Riccius;
Mattheus;persName;;;Mattheus;
